HOSPITAL_NAME,PROVIDER_NUMBER,STATE,MEASURE_NAME,NUMBER_OF_DISCHARGES,FOOTNOTE,EXCESS_READMISSION_RATIO,PREDICTED_READMISSION_RATE,EXPECTED_READMISSION_RATE,NUMBER_OF_READMISSIONS,START_DATE,END_DATE
"HIGHLANDS MEDICAL CENTER","010061","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CLAY COUNTY HOSPITAL","010073","AL","READM-30-PN-HRRP","103","","0.9853","14.4","14.6","14","01-JUL-13","30-JUN-16"
"NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","010078","AL","READM-30-HIP-KNEE-HRRP","404","","1.4044","6.1","4.3","31","01-JUL-13","30-JUN-16"
"NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","010078","AL","READM-30-PN-HRRP","544","","0.9653","16.7","17.3","89","01-JUL-13","30-JUN-16"
"ATHENS LIMESTONE HOSPITAL","010079","AL","READM-30-HIP-KNEE-HRRP","Not Available","","1.0204","4.3","4.2","Too Few to Report","01-JUL-13","30-JUN-16"
"ATHENS LIMESTONE HOSPITAL","010079","AL","READM-30-PN-HRRP","321","","1.0616","17.0","16.0","58","01-JUL-13","30-JUN-16"
"SOUTH BALDWIN REGIONAL MEDICAL CENTER","010083","AL","READM-30-HIP-KNEE-HRRP","184","","1.1927","5.8","4.8","14","01-JUL-13","30-JUN-16"
"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","010085","AL","READM-30-HF-HRRP","703","","0.9881","21.6","21.8","151","01-JUL-13","30-JUN-16"
"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","010085","AL","READM-30-HIP-KNEE-HRRP","455","","1.1706","4.8","4.1","25","01-JUL-13","30-JUN-16"
"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","010085","AL","READM-30-PN-HRRP","764","","1.0235","17.2","16.8","133","01-JUL-13","30-JUN-16"
"NORTHWEST MEDICAL CENTER","010086","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WALKER BAPTIST MEDICAL CENTER","010089","AL","READM-30-HF-HRRP","201","","1.0421","22.6","21.7","48","01-JUL-13","30-JUN-16"
"GROVE HILL MEMORIAL HOSPITAL","010091","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"HALE COUNTY HOSPITAL","010095","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ELMORE COMMUNITY HOSPITAL","010097","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"THOMAS HOSPITAL","010100","AL","READM-30-COPD-HRRP","163","","0.8994","17.6","19.6","21","01-JUL-13","30-JUN-16"
"THOMAS HOSPITAL","010100","AL","READM-30-PN-HRRP","401","","1.0448","17.1","16.4","71","01-JUL-13","30-JUN-16"
"J PAUL JONES HOSPITAL","010102","AL","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"GRANDVIEW MEDICAL CENTER","010104","AL","READM-30-AMI-HRRP","217","","0.9796","15.8","16.2","33","01-JUL-13","30-JUN-16"
"GRANDVIEW MEDICAL CENTER","010104","AL","READM-30-CABG-HRRP","Not Available","","1.0194","13.4","13.2","Too Few to Report","01-JUL-13","30-JUN-16"
"PRATTVILLE BAPTIST HOSPITAL","010108","AL","READM-30-HF-HRRP","191","","0.9524","19.9","20.9","35","01-JUL-13","30-JUN-16"
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","010114","AL","READM-30-AMI-HRRP","49","","1.0360","17.8","17.1","11","01-JUL-13","30-JUN-16"
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","010114","AL","READM-30-HF-HRRP","171","","1.0608","22.4","21.1","42","01-JUL-13","30-JUN-16"
"MONROE COUNTY HOSPITAL","010120","AL","READM-30-HF-HRRP","98","","0.9526","17.2","18.0","14","01-JUL-13","30-JUN-16"
"LAKELAND COMMUNITY HOSPITAL","010125","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"JACKSON MEDICAL CENTER","010128","AL","READM-30-PN-HRRP","Not Available","","0.9648","12.6","13.0","Too Few to Report","01-JUL-13","30-JUN-16"
"CRESTWOOD MEDICAL CENTER","010131","AL","READM-30-PN-HRRP","534","","1.0453","15.8","15.1","87","01-JUL-13","30-JUN-16"
"HILL HOSPITAL OF SUMTER COUNTY","010138","AL","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"RMC JACKSONVILLE","010146","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EVERGREEN MEDICAL CENTER","010148","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"L V STABLER MEMORIAL HOSPITAL","010150","AL","READM-30-COPD-HRRP","Not Available","","0.9379","15.0","16.0","Too Few to Report","01-JUL-13","30-JUN-16"
"RUSSELLVILLE HOSPITAL","010158","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"RUSSELLVILLE HOSPITAL","010158","AL","READM-30-HIP-KNEE-HRRP","Not Available","","1.0822","6.1","5.6","Too Few to Report","01-JUL-13","30-JUN-16"
"ATMORE COMMUNITY HOSPITAL","010169","AL","READM-30-COPD-HRRP","130","","1.0162","19.1","18.8","26","01-JUL-13","30-JUN-16"
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","READM-30-HIP-KNEE-HRRP","411","","1.1851","5.1","4.3","24","01-JUL-13","30-JUN-16"
"MIZELL MEMORIAL HOSPITAL","010007","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MIZELL MEMORIAL HOSPITAL","010007","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ST VINCENT'S EAST","010011","AL","READM-30-AMI-HRRP","254","","0.9887","14.5","14.6","36","01-JUL-13","30-JUN-16"
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","READM-30-CABG-HRRP","65","","1.0698","13.9","13.0","11","01-JUL-13","30-JUN-16"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-COPD-HRRP","373","","0.9239","16.8","18.2","57","01-JUL-13","30-JUN-16"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-HIP-KNEE-HRRP","354","","1.1613","5.1","4.4","21","01-JUL-13","30-JUN-16"
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","READM-30-HIP-KNEE-HRRP","Not Available","","1.0816","5.1","4.7","Too Few to Report","01-JUL-13","30-JUN-16"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-HF-HRRP","Not Available","","0.9555","18.3","19.1","Too Few to Report","01-JUL-13","30-JUN-16"
"FAYETTE MEDICAL CENTER","010045","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"FAYETTE MEDICAL CENTER","010045","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","READM-30-COPD-HRRP","355","","1.0524","20.1","19.1","75","01-JUL-13","30-JUN-16"
"MEDICAL CENTER ENTERPRISE","010049","AL","READM-30-HIP-KNEE-HRRP","Not Available","","0.8768","3.9","4.4","Too Few to Report","01-JUL-13","30-JUN-16"
"GREENE COUNTY HOSPITAL","010051","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"FLOWERS HOSPITAL","010055","AL","READM-30-PN-HRRP","566","","0.8940","14.0","15.7","73","01-JUL-13","30-JUN-16"
"ABRAZO CENTRAL CAMPUS","030030","AZ","READM-30-CABG-HRRP","Not Available","","0.9867","13.4","13.6","Too Few to Report","01-JUL-13","30-JUN-16"
"BANNER PAYSON MEDICAL CENTER","030033","AZ","READM-30-HF-HRRP","119","","0.9492","17.7","18.6","18","01-JUL-13","30-JUN-16"
"CHANDLER REGIONAL MEDICAL CENTER","030036","AZ","READM-30-CABG-HRRP","Not Available","","0.7624","10.1","13.3","Too Few to Report","01-JUL-13","30-JUN-16"
"CHANDLER REGIONAL MEDICAL CENTER","030036","AZ","READM-30-PN-HRRP","814","","0.9465","15.7","16.6","125","01-JUL-13","30-JUN-16"
"ST LUKE'S MEDICAL CENTER","030037","AZ","READM-30-HIP-KNEE-HRRP","839","","0.8469","3.1","3.7","23","01-JUL-13","30-JUN-16"
"SCOTTSDALE OSBORN MEDICAL CENTER","030038","AZ","READM-30-HIP-KNEE-HRRP","586","","0.8642","3.7","4.3","19","01-JUL-13","30-JUN-16"
"KINGMAN REGIONAL MEDICAL CENTER","030055","AZ","READM-30-CABG-HRRP","Not Available","","1.0031","12.6","12.5","Too Few to Report","01-JUL-13","30-JUN-16"
"BANNER BOSWELL MEDICAL CENTER","030061","AZ","READM-30-HF-HRRP","622","","0.9767","21.3","21.8","131","01-JUL-13","30-JUN-16"
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","030062","AZ","READM-30-COPD-HRRP","136","","0.9894","19.0","19.2","25","01-JUL-13","30-JUN-16"
"BANNER DESERT MEDICAL CENTER","030065","AZ","READM-30-AMI-HRRP","270","","1.0218","15.0","14.7","42","01-JUL-13","30-JUN-16"
"BANNER DESERT MEDICAL CENTER","030065","AZ","READM-30-COPD-HRRP","355","","1.1059","21.3","19.3","83","01-JUL-13","30-JUN-16"
"BANNER DESERT MEDICAL CENTER","030065","AZ","READM-30-HF-HRRP","370","","1.0543","21.6","20.5","83","01-JUL-13","30-JUN-16"
"MT. GRAHAM REGIONAL MEDICAL CENTER","030068","AZ","READM-30-COPD-HRRP","Not Available","","0.9751","15.6","16.0","Too Few to Report","01-JUL-13","30-JUN-16"
"HAVASU REGIONAL MEDICAL CENTER","030069","AZ","READM-30-CABG-HRRP","81","","0.9981","13.6","13.7","11","01-JUL-13","30-JUN-16"
"HAVASU REGIONAL MEDICAL CENTER","030069","AZ","READM-30-HF-HRRP","454","","0.9757","20.2","20.7","90","01-JUL-13","30-JUN-16"
"FORT DEFIANCE INDIAN HOSPITAL","030071","AZ","READM-30-PN-HRRP","147","","1.1008","13.5","12.3","25","01-JUL-13","30-JUN-16"
"TUBA CITY REGIONAL HEALTH CARE CORPORATION","030073","AZ","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SELLS HOSPITAL","030074","AZ","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SAN CARLOS APACHE HEALTHCARE","030077","AZ","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SAN CARLOS APACHE HEALTHCARE","030077","AZ","READM-30-COPD-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PHOENIX INDIAN MEDICAL CENTER","030078","AZ","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PHOENIX INDIAN MEDICAL CENTER","030078","AZ","READM-30-COPD-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NORTHWEST MEDICAL CENTER","030085","AZ","READM-30-HF-HRRP","357","","0.9135","17.7","19.4","58","01-JUL-13","30-JUN-16"
"BANNER BAYWOOD MEDICAL CENTER","030088","AZ","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SCOTTSDALE THOMPSON PEAK MEDICAL CENTER","030123","AZ","READM-30-AMI-HRRP","Not Available","","0.9569","12.2","12.8","Too Few to Report","01-JUL-13","30-JUN-16"
"SCOTTSDALE THOMPSON PEAK MEDICAL CENTER","030123","AZ","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BANNER IRONWOOD MEDICAL CENTER","030130","AZ","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"O.A.S.I.S. HOSPITAL","030131","AZ","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NORTH METRO MEDICAL CENTER","040074","AR","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SALINE MEMORIAL HOSPITAL","040084","AR","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MEDICAL CENTER SOUTH ARKANSAS","040088","AR","READM-30-CABG-HRRP","Not Available","","1.0206","14.2","13.9","Too Few to Report","01-JUL-13","30-JUN-16"
"NEA BAPTIST MEMORIAL HOSPITAL","040118","AR","READM-30-HF-HRRP","637","","1.0873","22.4","20.6","148","01-JUL-13","30-JUN-16"
"ST VINCENT MEDICAL CENTER/NORTH","040137","AR","READM-30-PN-HRRP","121","","1.0274","15.3","14.9","20","01-JUL-13","30-JUN-16"
"NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL","040152","AR","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WADLEY REGIONAL MEDICAL CENTER AT HOPE","040153","AR","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NORTH ARKANSAS REGIONAL MEDICAL CENTER","040017","AR","READM-30-HF-HRRP","155","","0.9588","17.7","18.5","25","01-JUL-13","30-JUN-16"
"ST BERNARDS MEDICAL CENTER","040020","AR","READM-30-HIP-KNEE-HRRP","453","","0.8956","3.8","4.2","15","01-JUL-13","30-JUN-16"
"NORTHWEST MEDICAL CENTER-SPRINGDALE","040022","AR","READM-30-CABG-HRRP","134","","0.9806","12.4","12.6","16","01-JUL-13","30-JUN-16"
"BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","040036","AR","READM-30-AMI-HRRP","334","","1.0814","15.3","14.1","56","01-JUL-13","30-JUN-16"
"ARKANSAS METHODIST MEDICAL CENTER","040039","AR","READM-30-AMI-HRRP","66","","1.0432","17.1","16.3","14","01-JUL-13","30-JUN-16"
"ARKANSAS METHODIST MEDICAL CENTER","040039","AR","READM-30-COPD-HRRP","217","","1.1163","19.8","17.8","51","01-JUL-13","30-JUN-16"
"ST MARYS REGIONAL MEDICAL CENTER","040041","AR","READM-30-AMI-HRRP","242","","1.0484","16.1","15.4","42","01-JUL-13","30-JUN-16"
"FIVE RIVERS MEDICAL CENTER","040047","AR","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"FIVE RIVERS MEDICAL CENTER","040047","AR","READM-30-PN-HRRP","101","","1.0106","14.3","14.1","15","01-JUL-13","30-JUN-16"
"OUACHITA COUNTY MEDICAL CENTER","040050","AR","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"OUACHITA COUNTY MEDICAL CENTER","040050","AR","READM-30-COPD-HRRP","102","","0.9894","16.4","16.6","16","01-JUL-13","30-JUN-16"
"ABRAZO ARROWHEAD CAMPUS","030094","AZ","READM-30-AMI-HRRP","195","","1.0041","14.7","14.7","29","01-JUL-13","30-JUN-16"
"ABRAZO ARROWHEAD CAMPUS","030094","AZ","READM-30-HF-HRRP","220","","0.9503","20.5","21.6","42","01-JUL-13","30-JUN-16"
"ABRAZO ARROWHEAD CAMPUS","030094","AZ","READM-30-PN-HRRP","361","","0.9040","15.4","17.1","50","01-JUL-13","30-JUN-16"
"WESTERN ARIZONA REGIONAL MEDICAL CENTER","030101","AZ","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BANNER HEART HOSPITAL","030105","AZ","READM-30-AMI-HRRP","712","","0.8829","12.3","14.0","80","01-JUL-13","30-JUN-16"
"CORE INSTITUTE SPECIALTY HOSPITAL, THE","030108","AZ","READM-30-HF-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CORE INSTITUTE SPECIALTY HOSPITAL, THE","030108","AZ","READM-30-HIP-KNEE-HRRP","Not Available","","0.9007","3.4","3.7","Too Few to Report","01-JUL-13","30-JUN-16"
"ABRAZO WEST CAMPUS","030110","AZ","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS","030111","AZ","READM-30-PN-HRRP","152","","0.9138","15.9","17.4","19","01-JUL-13","30-JUN-16"
"WHITERIVER PHS INDIAN HOSPITAL","030113","AZ","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WHITERIVER PHS INDIAN HOSPITAL","030113","AZ","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BANNER ESTRELLA MEDICAL CENTER","030115","AZ","READM-30-COPD-HRRP","155","","0.9838","19.5","19.8","29","01-JUL-13","30-JUN-16"
"VALLEY VIEW MEDICAL CENTER","030117","AZ","READM-30-AMI-HRRP","Not Available","","0.9478","13.1","13.9","Too Few to Report","01-JUL-13","30-JUN-16"
